objective,SGD,Momentum,Nesterov,Adagrad,RMSProp,Adam
logistic_regression_cifar100,-0.5840990348764299,-0.05691048840038035,0.026872082851182942,-0.3506651822606199,0.3000838896458415,0.6647187330404051
logistic_regression_cifar10,-0.3338482089255205,-0.034381539090922036,-0.29666601267076514,-0.3970079502591811,0.3335721429098992,0.7283315680364899
logistic_regression_fmnist,-0.21461274659679835,-0.18862747587159145,-0.010250343309687012,-0.3204470512347958,0.8895764286805882,-0.15563881166771526
logistic_regression_mnist,0.6299681140217157,-0.253148155445945,-0.4261632593822292,-0.4642679111909754,0.18610153554804995,0.32750967644938306
logistic_regression_svhn,-0.5131667880335538,0.21923200163409534,-0.0957465428031064,-0.4820627043318818,0.6190065243714239,0.2527375091630231
logistic_regression_gaussian_exact_param,-0.3556024388323741,-0.3066827975827846,-0.2707880881547533,-0.15900649389892474,0.34041385492555265,0.7516659635432842
logistic_regression_gaussian_over_param,-0.3474264072074074,-0.3699025578726398,-0.3603539997870164,-0.02744222553372027,0.5279855213275472,0.5771396690732363
logistic_regression_gaussian_over_param,0.9125461183227916,-0.16140047551417955,-0.17791769215563494,-0.1870210629059111,-0.1930523864509071,-0.19315450129615905
