,SGD,Momentum,Nesterov,Adagrad,RMSProp,Adam
Linear regression random samples - exactly parameterized,0.9005841794669208,-0.08836690775001878,-0.13587895340378203,-0.15491023068627446,-0.22373073354976267,-0.29769735407708253
Linear regression random samples - overparameterized,-0.35757717670041855,-0.2864103676605505,-0.2864134424184533,-0.13743988464756363,0.777890944960628,0.2899499264663522
Linear regression random samples - underparameterized,-0.18472558849650916,-0.18212443993473543,-0.18212443993473543,-0.1819923181030263,0.9128682708127018,-0.18190148434372624
