,SGD,Momentum,Nesterov,Adagrad,RMSProp,Adam
Linear regression random samples - exactly parameterized,6.233753681182861,1.7923610210418701,1.5789837837219238,1.493514060974121,1.1844402551651,0.8522551655769348
Linear regression random samples - overparameterized,3.6152431964874268,3.626279830932617,3.626279354095459,3.6493823528289795,3.791332960128784,3.7156624794006348
Linear regression random samples - underparameterized,0.011119303293526173,0.011119596660137177,0.011119596660137177,0.01111961156129837,0.011243093758821487,0.011119621805846691
