,SGD,Momentum,Nesterov,Adagrad,RMSProp,Adam
logistic_regression_gaussian_exact_param,-0.35560243883237413,-0.3066827975827846,-0.2707880881547533,-0.15900649389892477,0.34041385492555265,0.7516659635432842
logistic_regression_gaussian_over_param,-0.3474264072074074,-0.3699025578726398,-0.36035399978701643,-0.027442225533720267,0.5279855213275472,0.5771396690732363
logistic_regression_gaussian_over_param,0.9125461183227915,-0.16140047551417955,-0.17791769215563494,-0.1870210629059111,-0.1930523864509071,-0.19315450129615905
