Task,SGD,Momentum,Adam
Quadratic deep (minimization),87.4,87.05,87.11
MNIST VAE (generative),38.46,52.93,27.83
F-MNIST VAE (classification),0.57,0.73,0.54
CIFAR-10 CNN (classification),0.88,0.8,0.72
F-MNIST VAE (generative),23.8,59.23,23.07
CIFAR-100 All CNN C (classification),2.45,2.28,2.15
SVHN Wide Resnet (classification),0.33,0.27,0.3
Tolstoi Char RNN (NLP),1.23,1.26,1.27
