,cifar100_allcnnc,cifar10_3c3d,fmnist_2c2d,fmnist_vae,mnist_vae,quadratic_deep,svhn_wrn164,tolstoi_char_rnn
cifar100_allcnnc,0.0,8.355983255660602,29.057037683907016,22.271129132001,23.78647737780063,19.298670323392724,16.576222021021152,16.320745620567095
cifar10_3c3d,8.355983255660602,0.0,23.814578635494094,15.22312497048593,17.16651053667936,13.84489537217083,9.851309014048287,9.2045290892103
fmnist_2c2d,29.057037683907016,23.814578635494094,0.0,12.784720098055834,12.540168658210883,16.82143200482987,14.707012522819221,15.374848198107584
fmnist_vae,22.271129132001,15.22312497048593,12.784720098055834,0.0,7.405509442266859,13.142644661048076,5.863310185601991,6.304860053400703
mnist_vae,23.78647737780063,17.16651053667936,12.540168658210883,7.405509442266859,0.0,12.405975475347761,8.594287995315353,8.794678392394177
quadratic_deep,19.298670323392724,13.84489537217083,16.82143200482987,13.142644661048076,12.405975475347761,0.0,10.656810201826815,10.428275487879443
svhn_wrn164,16.576222021021152,9.851309014048287,14.707012522819221,5.863310185601991,8.594287995315353,10.656810201826815,0.0,4.593434430921809
tolstoi_char_rnn,16.320745620567095,9.2045290892103,15.374848198107584,6.304860053400703,8.794678392394177,10.428275487879443,4.593434430921809,0.0
