,cifar100_allcnnc,cifar10_3c3d,fmnist_2c2d,fmnist_vae,mnist_vae,quadratic_deep,svhn_wrn164,tolstoi_char_rnn
cifar100_allcnnc,0.0,2.6150966621889085,3.884106570888639,4.07811748,4.080987825,3.9128292223225607,3.994989369,3.7870819739489923
cifar10_3c3d,2.6150966621889085,0.0,3.583837074727082,2.7509746360000005,3.567323708935663,2.771058368938605,2.8063935399289806,2.591296206000001
fmnist_2c2d,3.884106570888639,3.583837074727082,0.0,2.599847679,0.934971948,4.0390577919999995,2.9727405109260467,2.5054130709999995
fmnist_vae,4.07811748,2.7509746360000005,2.599847679,0.0,2.1129831930000007,3.6116981795577163,1.621488989,1.991250295
mnist_vae,4.080987825,3.567323708935663,0.934971948,2.1129831930000007,0.0,3.61374826640366,3.5561529647993035,2.5946979580000002
quadratic_deep,3.9128292223225607,2.771058368938605,4.0390577919999995,3.6116981795577163,3.61374826640366,0.0,3.815783232220533,3.768723484189077
svhn_wrn164,3.994989369,2.8063935399289806,2.9727405109260467,1.621488989,3.5561529647993035,3.815783232220533,0.0,1.7594644389999998
tolstoi_char_rnn,3.7870819739489923,2.591296206000001,2.5054130709999995,1.991250295,2.5946979580000002,3.768723484189077,1.7594644389999998,0.0
