,SGD,Momentum,Nesterov,Adagrad,RMSProp,Adam
logistic_regression_cifar100,-0.5840990348764299,-0.05691048840038035,0.026872082851182946,-0.3506651822606199,0.3000838896458415,0.664718733040405
logistic_regression_cifar10,-0.33384820892552053,-0.034381539090922036,-0.29666601267076514,-0.3970079502591811,0.3335721429098992,0.72833156803649
logistic_regression_fmnist,-0.21461274659679833,-0.18862747587159143,-0.010250343309687012,-0.3204470512347958,0.8895764286805882,-0.15563881166771526
logistic_regression_mnist,0.6299681140217157,-0.253148155445945,-0.4261632593822292,-0.46426791119097544,0.18610153554804995,0.32750967644938306
logistic_regression_svhn,-0.5131667880335538,0.21923200163409537,-0.09574654280310639,-0.48206270433188175,0.6190065243714239,0.2527375091630231
