objective,SGD,Momentum,Nesterov,Adagrad,RMSProp,Adam
Logistic regression CIFAR100,-0.20793275771285427,-0.042415524165871146,-0.16030414437479182,-0.18839006540308495,-0.2981202448365765,0.8971627364931787
Logistic regression CIFAR10,-0.5077271262586843,0.5615631511033117,0.3278676457465717,-0.35813514349202497,-0.3206728200855584,0.2971042929863844
Logistic regression FMNIST,-0.23828304853279425,0.2978358814647383,-0.3800639775051116,-0.3478270018927675,-0.09346674568341036,0.7618048921493454
logistic_regression_gaussian_exact_param,-0.3556024388323741,-0.3066827975827846,-0.2707880881547533,-0.15900649389892474,0.34041385492555265,0.7516659635432842
logistic_regression_gaussian_over_param,-0.3474264072074074,-0.3699025578726398,-0.3603539997870164,-0.02744222553372027,0.5279855213275472,0.5771396690732363
logistic_regression_gaussian_over_param,0.9125461183227916,-0.16140047551417955,-0.17791769215563494,-0.1870210629059111,-0.1930523864509071,-0.19315450129615905
Logistic regression MNIST,0.8610950710185258,-0.04817274959774148,-0.18958345946943625,-0.27618579864084475,-0.3781694893854475,0.031016426074943614
Logistic regression SVHN,-0.4470362583677328,0.431726616289021,0.34511165908505226,-0.3859080532670057,-0.3867780836611079,0.4428841199217734
